INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.18728938953373916, MSE: 0.05807060583260104, RMSE: 0.240978434372458, pccs: 0.8786406648528725
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08447226113176559, MSE: 0.011565256639996382, RMSE: 0.1075414106778752, pccs: 0.9679549992435491
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08470543714216386, MSE: 0.011654175448638246, RMSE: 0.10791921866493315, pccs: 0.9673929747908431
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08780180494180834, MSE: 0.012411764811997163, RMSE: 0.11140524826244455, pccs: 0.9653902531908388
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08541145881035782, MSE: 0.011577806030246579, RMSE: 0.10755197544935194, pccs: 0.9676679560687389
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08501429523969518, MSE: 0.011650108384693453, RMSE: 0.10793499323745975, pccs: 0.9676872506420613
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.04636553159987005, MSE: 0.0035156277516339243, RMSE: 0.059292729331967206, pccs: 0.9903531673518381
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.07799397568581387, MSE: 0.009921277249948828, RMSE: 0.09943040540095896, pccs: 0.971693130503802
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.045968315924116515, MSE: 0.003482569320405625, RMSE: 0.05901329782689343, pccs: 0.9904526196781782
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.07822939935572, MSE: 0.010051538422096256, RMSE: 0.10025736093722125, pccs: 0.9695672117576281
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08168071686815695, MSE: 0.010495311797771663, RMSE: 0.10244662902102569, pccs: 0.9738631463290568
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.046713176034171425, MSE: 0.003573065537434971, RMSE: 0.059775124737928995, pccs: 0.9902030136128038
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08649638781998234, MSE: 0.012041302921937603, RMSE: 0.10973061666590146, pccs: 0.9665781624926213
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08202547953108223, MSE: 0.010634997550412282, RMSE: 0.10311121789481187, pccs: 0.970817941208953
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08543107944334219, MSE: 0.011781745824971386, RMSE: 0.10852333749900883, pccs: 0.9672023646898116
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08671912095905568, MSE: 0.011973243075182907, RMSE: 0.10942146503550063, pccs: 0.9667054722873062
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08455782244127524, MSE: 0.011665329935348502, RMSE: 0.1079351046673, pccs: 0.9674295506562656
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08604110436947697, MSE: 0.011946018933702273, RMSE: 0.10929784505516232, pccs: 0.9669560443461235
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08329370989564214, MSE: 0.01111171720260147, RMSE: 0.10541213024411124, pccs: 0.97077093886098
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.08760414405133182, MSE: 0.012475565176307444, RMSE: 0.1116940695664163, pccs: 0.963719055755587
INFO:root:learning_rate: 0.07, n_estimators: 1200, subsample: 0.9, min_samples_split: 15, max_depth: 2, MAE: 0.07815444362190621, MSE: 0.010572584137843044, RMSE: 0.10282307201131001, pccs: 0.970499025250498
